StringID,en-US,de,es-ES,fr-FR,it,ja,ko,pt-BR,ru,th,vi,zh-CN,zh-HK,zh-TW
LANG_NAME,English,Deutsch,Español,Français,Italiano,日本語,한국어,Português,Русский,ไทย,Tiếng Việt,中文(简体),中文(香港),中文(繁體)
IDLE_NAVI,Navigation,Navigation,Navegación,Navigation,Navigazione,ナビゲーション,내비게이션,Navegação,Навигация,การนำทาง,Điều hướng,导航,導航,導航
IDLE_TRANS,Translation,Übersetzung,Traducción,Traduction,Traduzione,翻訳,번역,Tradução,Перевод,การแปล,Dịch,翻译,翻譯,翻譯
IDLE_PROMP,Teleprompter,Textgeber,Teleprompter,Télésouffleur,Promemoria,テレプロンプター,텔레프롬프터,Teleprompter,Телепrompter,การแจ้งคำพูด,Gợi ý từ,提词,提詞,提詞
IDLE_MUSIC,Music,Musik,Música,Musique,Musica,音楽,음악,Música,Музыка,ดนตรี,Nhạc,音乐,音樂,音樂
IDLE_BOOK,Read,Lesen,Leer,Lire,Lettura,読む,읽기,Ler,Чтение,การอ่าน,Đọc sách,阅读,閱讀,閱讀
IDLE_ASR,Transcription,Transkription,Transcripción,Transcription,Trascrizione vocale,音声文字起こし,음성 인식,Transcrição,Транскрипция,การถอดเสียง,Chuyển đổi văn bản,转写,轉寫,轉寫
IDLE_AI,Voice Assistant,Sprachassistent,Asistente de voz,Assistant vocal,Assistente vocale,音声アシスタント,음성 비서,Assistente de voz,Голосовый ассистент, सहायการเสียง,Trợ lý giọng nói,语音助手,語音助手,語音助手
AI_ASK,Is there anything you'd like to ask me?,"Hast du etwas, was du mich fragen möchtest?",¿Tienes algo que quieras preguntarme?,As-tu quelque chose à me demander ?,Hai qualcosa da chiedermi?,何か聞きたいことがありますか？,내게 질문하고 싶은 것이 있나요?,Tens algo que quer me perguntar?,"У тебя есть что-нибудь, что ты хочешь спросить меня?",คุณมีอะไรที่อยากถามฉันไหม?,Bạn có điều gì muốn hỏi tôi không?,你有什么想要问我的吗？,你有什麼想問我的嗎？,你有什麼想問我的嗎？
OPEN_IDLE_NAVI,Please open Navigation on SmartGlasses,Bitte öffnen Sie die Navigation auf SmartGlasses,"Por favor, abre la Navegación en SmartGlasses",Veuillez ouvrir la Navigation sur SmartGlasses,Apri la Navigazione su SmartGlasses,SmartGlassesでナビゲーションを開いてください,SmartGlasses에서 내비게이션을 엽니다,"Por favor, abra a Navegação no SmartGlasses","Пожалуйста, откройте Навигацию на SmartGlasses",โปรดเปิดการนำทางบน SmartGlasses,Vui lòng mở Định vị trên SmartGlasses,请在SmartGlasses上开启导航,請在SmartGlasses上開啟導航,請在SmartGlasses上開啟導航
